排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,詹姆斯-哈登,火箭,31.9,9.60-21.10,0.45399999999999996,4.20-10.70,0.397,8.50-9.90,0.861,30,36.1
2,扬尼斯-阿德托昆博,雄鹿,29.7,10.90-19.90,0.545,0.50-1.70,0.271,7.50-9.80,0.773,28,38.0
3,勒布朗-詹姆斯,骑士,28.2,10.80-18.80,0.5720000000000001,2.10-5.10,0.41100000000000003,4.50-5.80,0.775,32,37.3
4,斯蒂芬-库里,勇士,26.3,8.30-17.60,0.473,3.60-9.50,0.381,6.00-6.50,0.9329999999999999,23,32.6
4,凯文-杜兰特,勇士,26.3,9.70-19.00,0.51,2.50-6.30,0.396,4.50-5.10,0.879,26,34.8
6,德马库斯-考辛斯,鹈鹕,26.2,9.00-19.00,0.473,2.30-6.40,0.35700000000000004,5.90-8.10,0.736,31,35.5
7,安东尼-戴维斯,鹈鹕,25.7,9.30-16.40,0.5670000000000001,0.60-1.80,0.348,6.40-8.00,0.807,26,35.4
8,克里斯塔普斯-波尔津吉斯,尼克斯,25.5,9.10-19.50,0.465,2.00-4.90,0.39799999999999996,5.30-6.30,0.848,24,31.8
9,达米安-利拉德,开拓者,25.2,8.10-19.40,0.418,2.80-8.10,0.348,6.20-6.70,0.9279999999999999,31,37.1
10,维克托-奥拉迪波,步行者,24.8,8.90-18.50,0.483,2.80-6.40,0.43200000000000005,4.30-5.40,0.7809999999999999,31,34.4
11,凯里-欧文,凯尔特人,24.7,9.00-18.30,0.491,2.50-6.20,0.402,4.20-4.70,0.887,32,32.2
12,德文-布克,太阳,24.3,8.50-18.80,0.45299999999999996,2.50-6.50,0.38299999999999995,4.80-5.50,0.87,25,34.0
13,乔尔-恩比德,76人,24.1,8.30-17.00,0.49,0.70-2.70,0.262,6.70-8.40,0.807,23,31.4
14,德马尔-德罗赞,猛龙,24.0,8.50-17.30,0.489,0.70-2.50,0.278,6.40-7.90,0.804,29,34.1
15,布拉德利-比尔,奇才,23.8,8.60-19.00,0.452,2.30-6.60,0.36,4.30-5.40,0.787,31,35.5
16,拉塞尔-威斯布鲁克,雷霆,23.3,8.30-20.50,0.40299999999999997,1.60-5.30,0.309,5.10-7.20,0.705,31,36.2
17,拉马库斯-阿尔德里奇,马刺,22.3,8.70-17.50,0.495,0.50-1.50,0.34,4.40-5.20,0.851,31,33.6
18,肯巴-沃克,黄蜂,21.2,7.00-16.90,0.414,2.20-6.80,0.332,5.00-5.80,0.862,29,35.0
19,CJ-麦科勒姆,开拓者,21.0,8.00-17.70,0.45,2.40-5.70,0.42100000000000004,2.70-3.10,0.88,30,36.8
19,克莱-汤普森,勇士,21.0,8.20-16.40,0.49700000000000005,3.50-7.40,0.46799999999999997,1.20-1.40,0.8809999999999999,31,34.1
21,卡尔-安东尼-唐斯,森林狼,20.7,7.70-14.60,0.526,1.40-3.70,0.39299999999999996,3.90-4.70,0.833,32,35.8
22,克里斯-米德尔顿,雄鹿,20.2,7.40-15.80,0.467,1.90-5.50,0.35200000000000004,3.50-4.00,0.8959999999999999,29,37.1
22,吉米-巴特勒,森林狼,20.2,7.20-15.60,0.46299999999999997,1.20-3.30,0.354,4.70-5.40,0.8640000000000001,30,37.2
24,保罗-乔治,雷霆,19.8,6.80-16.80,0.405,3.00-7.30,0.40399999999999997,3.30-4.10,0.805,29,37.0
24,路易斯-威廉姆斯,快船,19.8,6.50-14.90,0.436,2.40-6.20,0.385,4.40-4.90,0.895,29,30.8
26,凯文-乐福,骑士,19.5,6.40-13.50,0.474,2.20-5.30,0.40399999999999997,4.60-5.30,0.871,31,29.5
27,丹尼斯-施罗德,老鹰,19.4,7.70-17.30,0.445,1.10-3.50,0.304,2.90-3.50,0.85,29,32.0
28,埃里克-戈登,火箭,19.2,6.10-14.50,0.42,3.20-9.40,0.342,3.80-4.50,0.833,28,31.6
29,马克-加索尔,灰熊,19.1,6.50-15.50,0.42,1.50-4.30,0.353,4.60-5.50,0.83,31,35.0
30,TJ-沃伦,太阳,18.7,7.50-16.00,0.47200000000000003,0.30-1.60,0.17300000000000001,3.30-4.30,0.773,33,31.5
31,哈里森-巴恩斯,小牛,18.5,6.80-15.40,0.441,1.20-3.60,0.345,3.70-4.40,0.8440000000000001,32,34.9
32,阿龙-戈登,魔术,18.3,6.40-13.10,0.49,2.20-5.50,0.401,3.20-4.30,0.743,26,33.3
32,泰瑞克-埃文斯,灰熊,18.3,6.80-14.40,0.469,2.00-4.90,0.41200000000000003,2.70-3.40,0.7859999999999999,30,30.2
32,埃文-富尼耶,魔术,18.3,6.70-14.00,0.478,2.30-5.50,0.415,2.70-3.10,0.8640000000000001,26,32.5
35,朱-霍勒迪,鹈鹕,18.0,7.10-14.80,0.48100000000000004,1.60-4.90,0.336,2.10-2.50,0.831,31,37.0
36,尼古拉-武切维奇,魔术,17.8,7.50-15.10,0.498,1.50-4.30,0.35,1.20-1.40,0.826,32,30.8
36,小蒂姆-哈达威,尼克斯,17.8,6.30-15.10,0.42,2.30-7.20,0.316,2.90-3.60,0.8,21,34.1
38,多诺万-米切尔,爵士,17.7,6.60-15.40,0.426,2.30-6.30,0.366,2.20-2.70,0.841,31,30.1
39,罗德尼-胡德,爵士,17.6,6.10-14.30,0.426,3.00-7.00,0.431,2.40-2.80,0.875,23,28.3
39,安德鲁-威金斯,森林狼,17.6,6.70-15.60,0.426,1.20-4.20,0.294,3.00-4.80,0.63,32,36.7
41,托拜厄斯-哈里斯,活塞,17.5,6.60-14.60,0.45,2.60-6.00,0.43,1.80-2.00,0.889,31,32.6
42,凯尔-库兹马,湖人,17.4,6.70-13.20,0.507,1.90-4.70,0.405,2.10-2.80,0.7659999999999999,28,31.1
43,卡梅罗-安东尼,雷霆,17.3,6.40-15.80,0.40399999999999997,1.90-5.70,0.341,2.60-3.50,0.76,30,33.0
44,本-西蒙斯,76人,17.2,7.20-14.20,0.511,0.00-0.30,0.0,2.80-5.00,0.5479999999999999,29,36.6
45,戈兰-德拉季奇,热火,16.6,6.10-13.70,0.444,1.50-4.10,0.381,2.90-3.70,0.769,29,31.4
46,JJ-雷迪克,76人,16.5,5.70-13.10,0.43200000000000005,2.60-6.60,0.387,2.60-2.80,0.948,28,33.7
47,布兰登-英格拉姆,湖人,16.2,6.00-13.30,0.447,0.60-1.70,0.34700000000000003,3.70-5.50,0.667,29,34.8
48,加里-哈里斯,掘金,16.1,6.20-13.00,0.478,2.30-6.00,0.38299999999999995,1.40-1.80,0.78,28,34.2
49,扎克-兰多夫,国王,15.9,6.70-12.80,0.525,0.80-2.30,0.354,1.60-2.10,0.7759999999999999,28,26.0
49,德怀特-霍华德,黄蜂,15.9,5.90-10.90,0.54,0.00-0.00,0.0,4.10-7.70,0.5329999999999999,31,30.1
51,凯尔-洛瑞,猛龙,15.8,5.10-11.80,0.431,3.00-7.50,0.396,2.70-3.00,0.875,29,32.8
52,埃弗里-布拉德利,活塞,15.7,5.90-13.80,0.425,1.90-4.60,0.414,2.10-2.50,0.8170000000000001,28,31.3
53,尼古拉-约基奇,掘金,15.5,5.80-11.50,0.509,1.30-3.30,0.392,2.60-3.00,0.861,24,29.2
54,贾马尔-默里,掘金,15.3,5.50-12.40,0.44299999999999995,1.70-4.90,0.358,2.50-2.70,0.929,31,27.8
55,乔纳森-西蒙斯,魔术,15.2,5.70-12.00,0.475,0.90-2.90,0.326,2.80-3.80,0.736,32,28.8
56,威尔-巴顿,掘金,15.1,5.60-12.30,0.457,1.90-5.00,0.384,2.00-2.80,0.711,30,31.3
57,罗伯特-科温顿,76人,15.0,5.10-12.00,0.424,3.20-8.00,0.397,1.60-1.90,0.833,28,32.7
57,优素福-努尔基奇,开拓者,15.0,6.20-13.20,0.46799999999999997,0.00-0.20,0.0,2.70-4.20,0.6409999999999999,28,27.7
57,雷吉-杰克逊,活塞,15.0,5.60-12.40,0.45299999999999996,1.40-3.80,0.35600000000000004,2.40-2.90,0.843,31,27.2
60,杰里米-兰姆,黄蜂,14.9,5.30-11.90,0.441,1.20-3.50,0.35600000000000004,3.10-3.60,0.8690000000000001,30,27.1
61,迪昂-韦特斯,热火,14.7,5.50-14.10,0.395,1.80-5.90,0.306,1.80-2.40,0.7390000000000001,29,31.3
61,奥斯汀-里弗斯,快船,14.7,5.40-13.30,0.40299999999999997,2.40-5.90,0.4,1.60-2.60,0.625,28,33.0
63,奥托-波特,奇才,14.6,5.90-11.70,0.5,1.70-3.80,0.44799999999999995,1.20-1.50,0.81,28,31.5
64,杰伦-布朗,凯尔特人,14.5,5.30-11.30,0.474,1.80-4.40,0.40399999999999997,2.00-3.50,0.586,32,31.3
65,丹尼斯-史密斯,小牛,14.4,5.70-14.40,0.397,1.50-4.80,0.307,1.50-2.30,0.6729999999999999,24,27.8
65,迈尔斯-特纳,步行者,14.4,5.50-11.20,0.491,0.90-2.60,0.33799999999999997,2.50-3.30,0.768,25,30.2
65,朗戴-霍利斯-杰弗森,篮网,14.4,5.10-10.30,0.491,0.30-0.90,0.304,4.00-5.00,0.813,27,28.1
68,劳里-马尔卡宁,公牛,14.3,5.10-12.80,0.397,2.20-6.60,0.32799999999999996,2.00-2.40,0.846,27,30.1
69,肯塔维厄斯-考德威尔-波普,湖人,14.2,5.00-12.20,0.40700000000000003,2.20-6.20,0.355,2.00-2.80,0.7390000000000001,25,34.8
70,博扬-波格丹诺维奇,步行者,14.1,5.20-10.80,0.483,2.00-5.00,0.40399999999999997,1.70-1.90,0.871,32,31.5
70,乔丹-克拉克森,湖人,14.1,5.50-11.90,0.46799999999999997,1.20-3.50,0.34299999999999997,1.80-2.40,0.768,29,22.3
70,赛尔吉-伊巴卡,猛龙,14.1,5.70-10.90,0.521,1.80-4.40,0.409,1.00-1.40,0.6759999999999999,26,27.7
73,克林特-卡佩拉,火箭,14.0,6.10-8.80,0.6940000000000001,0.00-0.00,0.0,1.90-3.20,0.596,28,25.5
73,艾尔-霍弗德,凯尔特人,14.0,5.60-10.60,0.524,1.40-3.40,0.415,1.40-1.90,0.759,31,32.6
75,安德烈-德拉蒙德,活塞,13.8,5.30-10.00,0.534,0.00-0.10,0.0,3.10-5.00,0.626,31,32.6
75,杰夫-蒂格,森林狼,13.8,5.00-11.20,0.444,1.50-3.80,0.39,2.30-2.80,0.821,28,34.2
75,杰森-塔特姆,凯尔特人,13.8,4.60-9.10,0.506,1.50-3.00,0.505,3.10-3.70,0.833,34,30.4
78,贾斯廷-霍勒迪,公牛,13.6,4.60-12.50,0.369,2.50-6.90,0.35700000000000004,1.90-2.50,0.789,29,33.7
78,史蒂文-亚当斯,雷霆,13.6,5.80-9.10,0.633,0.00-0.00,0.0,2.00-3.10,0.6629999999999999,26,32.3
80,克里斯-邓恩,公牛,13.3,5.60-12.60,0.446,0.90-2.30,0.36700000000000005,1.30-1.90,0.66,26,28.2
81,伊托万-摩尔,鹈鹕,13.2,5.50-10.30,0.535,1.80-4.00,0.46,0.40-0.60,0.6,31,32.6
81,埃内斯-坎特,尼克斯,13.2,5.60-9.30,0.603,0.00-0.00,0.0,1.90-2.20,0.8809999999999999,27,25.7
83,考特尼-李,尼克斯,13.1,4.90-10.40,0.47,1.60-3.60,0.431,1.70-1.80,0.9440000000000001,30,32.1
83,罗宾-洛佩斯,公牛,13.1,5.90-11.30,0.521,0.10-0.20,0.28600000000000003,1.20-1.70,0.725,30,30.0
85,博比-波蒂斯,公牛,13.0,5.00-10.20,0.484,1.20-3.20,0.38799999999999996,1.80-2.20,0.809,21,21.5
85,托里恩-普林斯,老鹰,13.0,4.90-11.00,0.444,1.80-4.30,0.42100000000000004,1.40-1.90,0.759,31,31.1
85,马尔科姆-布罗格登,雄鹿,13.0,5.10-10.90,0.466,1.50-3.90,0.39799999999999996,1.40-1.60,0.8640000000000001,28,30.4
88,德马雷-卡罗尔,篮网,12.9,4.20-10.30,0.408,1.80-5.00,0.36,2.70-3.70,0.74,27,29.2
89,布鲁克-洛佩斯,湖人,12.8,4.80-10.80,0.446,1.20-4.00,0.297,2.00-2.60,0.753,28,22.4
89,赛迪斯-杨,步行者,12.8,5.60-11.30,0.49,1.00-2.80,0.341,0.70-1.10,0.618,32,33.5
91,肯特-贝兹莫尔,老鹰,12.6,4.30-10.40,0.409,1.50-4.10,0.37799999999999995,2.50-3.20,0.7959999999999999,31,28.7
92,达里奥-沙里奇,76人,12.4,4.70-11.10,0.42100000000000004,1.70-4.90,0.336,1.40-1.70,0.833,29,30.0
