排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
139,贾马尔-克劳福德,森林狼,9.6,3.40-8.20,0.413,1.20-3.50,0.354,1.60-1.70,0.943,32,18.2
139,伊曼纽尔-穆迪埃,掘金,9.6,3.30-8.40,0.392,1.10-2.80,0.39,1.90-2.30,0.794,29,21.1
142,马库斯-斯马特,凯尔特人,9.5,3.10-9.30,0.336,1.40-4.40,0.324,1.80-2.60,0.72,32,30.6
143,钱德勒-帕森斯,灰熊,9.4,3.60-7.10,0.5,1.60-3.70,0.44,0.60-1.10,0.6,23,21.1
143,达龙-福克斯,国王,9.4,3.80-9.50,0.402,0.40-1.30,0.289,1.40-2.10,0.667,29,25.1
143,威尔森-钱德勒,掘金,9.4,3.40-8.30,0.41100000000000003,1.10-3.40,0.319,1.50-1.80,0.8370000000000001,27,30.4
143,马文-威廉姆斯,黄蜂,9.4,3.30-7.00,0.47,1.60-3.70,0.43,1.20-1.50,0.8440000000000001,31,26.2
147,登泽尔-瓦伦丁,公牛,9.3,3.60-9.00,0.395,1.90-4.70,0.39399999999999996,0.30-0.40,0.6920000000000001,30,28.4
147,杰里-贝勒斯,76人,9.3,3.10-7.50,0.414,1.80-4.50,0.39299999999999996,1.30-1.60,0.795,24,26.0
149,韦恩-艾灵顿,热火,9.2,3.00-7.10,0.418,2.60-6.20,0.41700000000000004,0.70-0.80,0.917,31,21.7
149,约什-杰克逊,太阳,9.2,3.50-9.20,0.377,0.60-2.40,0.225,1.70-3.00,0.57,33,22.4
151,亚历克斯-莱恩,太阳,9.1,3.20-6.00,0.536,0.00-0.00,0.0,2.70-3.50,0.773,28,22.1
151,马尔钦-戈塔特,奇才,9.1,3.80-7.10,0.541,0.00-0.00,0.0,1.50-2.30,0.634,31,28.3
153,丹尼-格林,马刺,9.0,3.40-8.50,0.405,1.70-4.60,0.37200000000000005,0.40-0.50,0.733,28,27.9
154,DJ-奥古斯丁,魔术,8.9,2.60-5.90,0.446,1.30-3.00,0.434,2.30-2.60,0.8640000000000001,25,21.2
155,特里-罗齐尔,凯尔特人,8.7,3.10-8.30,0.371,1.50-4.20,0.359,1.00-1.30,0.795,34,23.0
155,杰-克劳德,骑士,8.7,2.90-7.30,0.40299999999999997,1.20-3.80,0.309,1.70-1.80,0.898,32,25.8
155,伊斯梅尔-史密斯,活塞,8.7,4.00-8.60,0.46399999999999997,0.10-0.60,0.2,0.70-1.00,0.6559999999999999,31,20.0
155,凯尔-安德森,马刺,8.7,3.40-6.70,0.513,0.20-0.50,0.385,1.70-2.20,0.755,24,27.5
159,杰里安-格兰特,公牛,8.6,3.00-7.00,0.433,0.80-2.40,0.319,1.80-2.50,0.7070000000000001,30,23.2
159,泰勒-泽勒,篮网,8.6,3.50-5.90,0.605,0.20-0.60,0.385,1.30-2.00,0.644,22,19.0
159,德文-哈里斯,小牛,8.6,2.60-6.70,0.39399999999999996,0.90-2.70,0.314,2.50-3.00,0.831,26,19.1
162,道格-麦克德莫特,尼克斯,8.5,3.40-7.00,0.483,1.20-2.80,0.41200000000000003,0.60-0.80,0.7390000000000001,30,24.4
162,诺曼-鲍威尔,猛龙,8.5,3.20-7.20,0.436,1.00-3.20,0.313,1.20-1.40,0.853,25,20.4
162,托尼-斯内尔,雄鹿,8.5,3.20-6.10,0.521,1.70-3.70,0.466,0.50-0.70,0.75,24,31.3
165,马努-吉诺比利,马刺,8.4,3.00-7.20,0.41,0.90-3.20,0.271,1.70-2.00,0.8490000000000001,27,20.9
166,兰斯-史蒂芬森,步行者,8.3,3.30-7.40,0.445,0.70-2.20,0.31,1.00-1.60,0.647,32,22.3
167,特雷-莱尔斯,掘金,8.2,2.90-5.60,0.521,1.20-2.40,0.5,1.10-1.50,0.75,26,16.3
168,沙巴兹-内皮尔,开拓者,8.0,2.90-5.80,0.507,0.90-1.90,0.46799999999999997,1.30-1.50,0.8420000000000001,25,17.1
168,泰勒-尤利斯,太阳,8.0,3.00-7.80,0.391,0.40-1.70,0.259,1.50-1.80,0.831,32,23.6
168,杰拉米-格兰特,雷霆,8.0,2.90-5.80,0.509,0.40-1.50,0.267,1.80-2.60,0.688,30,21.4
168,弗兰克-梅森,国王,8.0,2.80-7.10,0.39399999999999996,0.70-1.50,0.43200000000000005,1.70-2.20,0.774,24,18.8
168,萨博-塞福洛沙,爵士,8.0,3.10-6.00,0.511,0.90-2.20,0.409,1.00-1.20,0.8109999999999999,30,20.9
173,特洛伊-丹尼尔斯,太阳,7.9,2.70-6.00,0.447,2.10-4.80,0.43,0.60-0.60,0.9470000000000001,33,17.2
173,埃文-特纳,开拓者,7.9,3.10-7.40,0.419,0.30-1.40,0.209,1.40-1.60,0.86,31,26.9
175,JR-史密斯,骑士,7.8,2.80-7.40,0.382,1.80-5.20,0.353,0.30-0.50,0.588,32,30.3
175,狄龙-布鲁克斯,灰熊,7.8,3.00-6.60,0.45899999999999996,0.90-2.30,0.37,0.90-1.20,0.778,31,27.8
175,约翰-亨森,雄鹿,7.8,3.40-5.80,0.584,0.00-0.10,0.0,1.10-2.20,0.49200000000000005,28,23.9
178,加莱特-坦普尔,国王,7.7,2.70-7.20,0.373,1.40-3.80,0.36,0.90-1.20,0.73,30,24.9
178,科里-约瑟夫,步行者,7.7,2.80-6.80,0.41700000000000004,1.10-2.50,0.43,1.00-1.10,0.914,32,25.0
180,达柳斯-米勒,鹈鹕,7.5,2.60-5.50,0.46799999999999997,1.90-4.10,0.45299999999999996,0.50-0.60,0.8,31,20.7
180,安东尼-托利弗,活塞,7.5,2.40-5.30,0.446,1.80-4.20,0.41200000000000003,1.00-1.30,0.784,28,19.2
